time,ax,ay,az,atotal
0.000,-0.00,-0.03,0.13,0.13
0.010,-0.11,-0.04,0.29,0.31
0.020,-0.14,-0.01,0.39,0.41
0.030,-0.10,0.01,0.35,0.36
0.040,-0.07,0.04,0.24,0.26
0.050,-0.13,0.05,0.13,0.19
0.060,-0.17,-0.01,0.07,0.19
0.070,-0.11,-0.01,-0.04,0.12
0.080,-0.04,0.01,-0.22,0.22
0.090,-0.09,-0.08,-0.33,0.35
0.100,-0.18,-0.14,-0.31,0.38
0.109,-0.20,-0.10,-0.28,0.36
0.120,-0.13,-0.06,-0.23,0.27
0.129,-0.04,-0.04,-0.16,0.17
0.139,-0.05,-0.07,-0.03,0.09
0.149,-0.11,-0.07,0.09,0.16
0.159,-0.14,-0.01,0.12,0.19
0.169,-0.19,0.06,0.03,0.20
0.179,-0.15,0.04,-0.03,0.16
0.189,-0.08,-0.01,-0.09,0.12
0.199,0.00,-0.04,-0.12,0.12
0.209,0.02,-0.00,-0.10,0.10
0.219,0.07,0.02,-0.05,0.09
0.229,0.11,0.01,0.02,0.11
0.239,0.06,0.05,0.15,0.17
0.249,0.03,0.13,0.17,0.21
0.259,0.02,0.19,0.13,0.23
0.269,0.01,0.16,0.04,0.17
0.279,-0.01,0.05,0.01,0.05
0.289,0.01,0.01,0.08,0.08
0.299,0.02,0.11,0.09,0.15
0.309,-0.06,0.11,0.03,0.13
0.319,-0.17,0.07,-0.13,0.23
0.329,-0.15,0.05,-0.43,0.46
0.339,0.22,0.13,-0.97,1.00
0.349,0.69,0.08,-1.82,1.94
0.359,0.66,0.16,-2.56,2.65
0.369,0.42,0.09,-3.19,3.22
0.379,-0.33,0.22,-3.43,3.45
0.388,-0.85,0.53,-4.72,4.83
0.398,-0.41,-0.18,-7.66,7.67
0.409,0.55,-0.05,-9.33,9.34
0.418,0.98,-0.21,-9.51,9.56
0.428,1.07,-0.24,-9.56,9.62
0.438,1.23,-0.22,-9.56,9.64
0.448,1.40,-0.22,-9.65,9.76
0.458,1.58,-0.19,-9.62,9.75
0.468,1.76,-0.18,-9.58,9.74
0.478,1.92,-0.15,-9.53,9.72
0.488,2.08,-0.13,-9.49,9.71
0.498,2.25,-0.11,-9.43,9.70
0.508,2.41,-0.08,-9.38,9.68
0.518,2.57,-0.06,-9.33,9.68
0.528,2.73,-0.03,-9.28,9.67
0.538,2.89,-0.00,-9.23,9.67
0.548,3.05,0.01,-9.17,9.66
0.558,3.20,0.03,-9.10,9.65
0.568,3.35,0.06,-9.01,9.62
0.578,3.50,0.09,-8.95,9.61
