time,ax,ay,az,atotal
0.000,-0.10,-0.03,-0.05,0.12
0.010,-0.08,-0.03,-0.16,0.18
0.020,0.02,-0.05,-0.22,0.22
0.030,0.09,-0.06,-0.22,0.25
0.040,0.12,-0.05,-0.16,0.21
0.050,0.14,-0.03,-0.07,0.15
0.059,0.10,0.01,0.02,0.10
0.069,0.08,-0.01,0.11,0.14
0.079,0.02,-0.04,0.19,0.19
0.089,-0.07,-0.03,0.25,0.26
0.099,-0.14,-0.03,0.30,0.33
0.109,-0.08,-0.05,0.30,0.32
0.119,-0.02,-0.06,0.24,0.25
0.129,0.03,-0.06,0.13,0.14
0.139,0.01,-0.02,0.02,0.03
0.149,-0.03,-0.04,-0.03,0.05
0.159,0.00,-0.01,0.02,0.02
0.169,0.11,-0.00,0.09,0.14
0.179,0.13,-0.00,0.15,0.20
0.189,0.08,0.01,0.14,0.17
0.199,0.09,-0.06,0.11,0.16
0.209,0.14,-0.14,0.04,0.20
0.219,0.12,-0.12,0.00,0.17
0.229,0.08,-0.08,-0.01,0.11
0.239,-0.01,-0.03,-0.01,0.04
0.249,-0.12,0.02,-0.00,0.12
0.259,-0.15,0.09,-0.01,0.18
0.269,-0.11,0.09,-0.01,0.15
0.279,-0.07,0.11,-0.05,0.13
0.289,-0.01,0.13,-0.12,0.18
0.299,0.06,0.11,-0.16,0.20
0.309,0.08,0.11,-0.16,0.21
0.319,0.09,0.10,-0.15,0.20
0.329,0.09,0.09,-0.16,0.21
0.339,0.09,0.08,-0.17,0.21
0.348,0.08,0.06,-0.16,0.19
0.358,0.04,0.03,-0.17,0.18
0.368,-0.00,0.03,-0.15,0.15
0.378,-0.02,0.07,-0.15,0.16
0.388,-0.01,0.09,-0.14,0.17
0.398,0.04,0.07,-0.13,0.15
0.408,0.07,0.07,-0.10,0.14
0.418,0.09,0.10,-0.14,0.19
0.428,0.06,0.12,-0.17,0.22
0.438,0.06,0.14,-0.30,0.34
0.448,0.06,0.13,-0.61,0.63
0.458,0.04,0.12,-0.91,0.92
0.468,0.07,0.08,-1.17,1.17
0.478,0.06,0.10,-1.43,1.44
0.488,0.02,0.26,-1.84,1.85
0.498,-0.17,0.53,-2.62,2.68
0.508,-0.20,0.77,-3.68,3.77
0.518,-0.18,1.02,-4.74,4.86
0.528,0.37,1.31,-5.87,6.02
0.538,0.03,1.42,-7.17,7.31
0.548,-0.51,1.15,-8.68,8.77
0.558,-0.59,1.17,-8.74,8.84
0.568,-0.63,1.65,-7.65,7.85
0.578,-1.07,1.89,-7.85,8.14
0.588,-1.39,1.81,-8.72,9.01
0.598,-1.57,1.81,-9.27,9.57
0.608,-1.70,2.00,-9.23,9.59
0.617,-1.85,2.17,-9.19,9.62
0.628,-1.98,2.35,-9.13,9.63
0.637,-2.08,2.55,-9.03,9.61
0.647,-2.22,2.72,-8.92,9.59
0.657,-2.33,2.91,-8.81,9.57
0.667,-2.45,3.08,-8.70,9.55
0.677,-2.58,3.25,-8.59,9.54
0.687,-2.68,3.43,-8.48,9.53
0.697,-2.79,3.61,-8.34,9.51
0.707,-2.89,3.76,-8.23,9.50
0.717,-2.98,3.94,-8.09,9.48
0.727,-3.09,4.09,-7.95,9.46
0.737,-3.19,4.24,-7.82,9.45
0.747,-3.28,4.40,-7.68,9.44
0.757,-3.37,4.55,-7.56,9.44
0.767,-3.44,4.70,-7.39,9.41
0.777,-3.54,4.84,-7.24,9.40
0.787,-3.61,4.97,-7.10,9.39
0.797,-3.67,5.11,-6.94,9.37
0.807,-3.75,5.25,-6.79,9.36
0.817,-3.81,5.38,-6.64,9.36
0.827,-3.86,5.50,-6.49,9.34
0.837,-3.92,5.63,-6.35,9.34
0.847,-3.96,5.74,-6.18,9.32
0.857,-4.01,5.86,-6.00,9.29
0.867,-4.05,5.96,-5.84,9.27
0.877,-4.09,6.08,-5.70,9.28
0.887,-4.12,6.17,-5.57,9.28
0.896,-4.14,6.27,-5.43,9.27
0.907,-4.16,6.35,-5.31,9.26
0.916,-4.18,6.44,-5.19,9.27
0.927,-4.19,6.52,-5.05,9.25
0.937,-4.19,6.62,-4.92,9.25
0.946,-4.20,6.69,-4.81,9.25
0.956,-4.21,6.76,-4.65,9.22
0.966,-0.56,2.24,6.72,7.11
0.977,30.37,-58.86,85.84,108.42
0.987,62.69,-133.65,133.12,198.77
0.996,40.93,-99.03,110.28,153.77
1.006,1.61,-10.15,19.82,22.33
1.016,-1.60,0.91,8.35,8.55
1.026,0.21,-0.60,-0.99,1.18
1.036,0.59,3.52,-6.99,7.85
1.046,-0.84,3.62,-8.92,9.67
1.056,-1.29,3.28,-9.38,10.02
1.066,-1.26,3.42,-8.94,9.65
1.076,-1.23,3.61,-8.45,9.28
1.086,-0.94,3.87,-7.55,8.54
1.096,-0.37,4.30,-6.03,7.41
1.106,0.17,4.58,-4.43,6.37
1.116,0.68,4.83,-2.80,5.62
1.126,1.36,5.06,0.13,5.24
1.136,1.18,4.05,1.90,4.62
1.146,0.11,2.27,1.58,2.77
1.156,-0.18,1.02,1.45,1.78
1.166,-0.47,0.58,1.06,1.30
1.176,-1.43,0.46,2.49,2.91
1.186,-2.63,0.08,4.10,4.87
1.195,-2.82,-0.13,5.80,6.45
