time,ax,ay,az,atotal
1.206,-1.02,-0.18,5.43,5.53
1.215,0.43,0.13,1.26,1.34
1.225,0.97,0.36,-2.30,2.52
1.235,1.09,0.17,-3.34,3.51
1.245,1.04,-0.36,-2.12,2.39
1.255,0.68,-0.80,0.07,1.05
1.265,0.12,-0.77,1.36,1.57
1.275,-0.19,-0.35,1.41,1.47
1.285,-0.29,0.17,0.73,0.80
1.295,-0.22,0.41,-0.20,0.51
1.305,-0.04,0.30,-0.78,0.83
1.315,0.15,0.11,-0.47,0.50
1.325,0.16,-0.03,0.28,0.32
1.335,0.05,-0.07,0.46,0.47
1.345,0.01,-0.05,0.09,0.10
1.355,-0.00,-0.03,-0.21,0.21
1.365,0.04,0.00,-0.21,0.21
1.375,0.08,0.04,-0.01,0.09
1.385,0.06,0.06,0.11,0.13
1.395,0.03,0.08,0.05,0.10
1.405,0.01,0.06,-0.04,0.07
1.415,0.01,0.04,-0.10,0.11
1.425,0.04,0.00,-0.06,0.07
1.435,0.07,-0.03,-0.01,0.08
1.445,0.10,-0.03,-0.01,0.10
1.455,0.07,0.01,-0.01,0.07
1.465,0.02,0.06,-0.02,0.06
1.475,0.01,0.07,-0.01,0.07
1.485,0.01,0.05,-0.02,0.05
1.495,0.05,0.02,-0.02,0.06
1.505,0.07,0.00,-0.02,0.08
1.514,0.06,0.00,-0.04,0.07
1.525,0.03,0.03,-0.02,0.04
1.534,0.02,0.05,-0.00,0.05
1.544,0.03,0.05,-0.03,0.06
1.554,0.03,0.05,-0.01,0.06
1.564,0.02,0.03,-0.02,0.04
1.574,0.05,0.01,-0.02,0.05
1.584,0.04,-0.00,-0.03,0.05
1.594,0.04,0.01,-0.02,0.05
1.604,0.04,0.03,-0.00,0.05
1.614,0.02,0.05,-0.03,0.06
1.624,0.04,0.04,-0.04,0.06
1.634,0.05,0.03,-0.03,0.06
1.644,0.05,0.02,-0.03,0.06
1.654,0.03,0.03,-0.04,0.05
1.664,0.03,0.02,-0.02,0.04
1.674,0.03,0.03,-0.02,0.04
1.684,0.04,0.03,-0.03,0.06
1.694,0.04,0.02,-0.05,0.06
1.704,0.04,0.04,-0.03,0.06
1.714,0.04,0.02,-0.02,0.05
1.724,0.03,0.01,-0.04,0.05
1.734,0.04,0.00,-0.02,0.05
1.744,0.05,0.02,-0.02,0.06
1.754,0.05,0.03,-0.03,0.06
1.763,0.03,0.03,-0.01,0.04
1.774,0.04,0.02,-0.01,0.05
1.783,0.04,0.02,-0.01,0.04
1.794,0.03,0.01,-0.02,0.04
1.803,0.04,0.03,-0.04,0.06
1.813,0.04,0.03,-0.02,0.05
1.823,0.03,0.03,-0.02,0.05
1.833,0.03,0.03,-0.02,0.05
1.843,0.04,0.01,-0.03,0.05
1.853,0.04,0.01,-0.02,0.05
1.863,0.05,0.02,-0.01,0.05
1.873,0.04,0.02,-0.02,0.05
1.883,0.03,0.02,-0.02,0.04
1.893,0.03,0.02,-0.03,0.04
1.903,0.04,0.03,-0.03,0.06
1.913,0.03,0.01,-0.01,0.04
1.923,0.03,0.02,-0.00,0.04
1.933,0.05,0.02,-0.05,0.07
1.943,0.03,0.02,-0.01,0.04
1.953,0.04,0.03,-0.04,0.06
1.963,0.02,0.02,-0.00,0.03
1.973,0.03,0.02,-0.00,0.03
1.983,0.04,0.02,-0.04,0.06
1.993,0.04,0.02,-0.01,0.04
2.003,0.03,0.03,-0.02,0.05
2.013,0.05,0.01,-0.04,0.06
2.023,0.04,0.01,-0.01,0.04
2.033,0.04,0.04,-0.03,0.06
2.043,0.02,0.02,-0.03,0.05
2.053,0.04,0.01,-0.01,0.04
2.062,0.03,0.02,-0.02,0.04
2.073,0.02,0.03,-0.05,0.06
2.083,0.04,0.02,-0.04,0.06
2.092,0.03,0.01,-0.01,0.03
2.102,0.03,0.03,-0.01,0.05
2.112,0.03,0.03,-0.02,0.05
2.122,0.02,0.08,0.15,0.17
2.132,0.07,0.15,-0.01,0.17
2.142,0.00,-0.01,-0.37,0.37
2.152,0.05,-0.19,-0.13,0.24
2.162,0.04,-0.08,0.25,0.26
2.172,0.03,0.11,0.04,0.12
2.182,0.02,0.11,-0.07,0.13
2.192,0.04,0.02,-0.05,0.07
2.202,0.05,0.01,-0.05,0.07
2.212,-0.01,0.04,0.06,0.07
2.222,0.05,0.03,-0.10,0.12
2.232,0.07,-0.01,-0.03,0.07
2.242,0.03,0.02,-0.02,0.04
2.252,-0.03,0.04,-0.09,0.10
2.262,0.01,0.05,-0.02,0.05
2.272,0.09,0.06,-0.15,0.19
2.282,0.11,0.08,-0.23,0.26
2.292,0.06,0.02,-0.16,0.17
2.302,-0.13,-0.04,0.20,0.24
2.312,-0.06,0.01,0.25,0.26
2.322,0.06,0.01,0.03,0.07
2.332,0.00,-0.01,-0.08,0.09
2.342,0.06,0.04,-0.16,0.18
2.352,0.15,0.05,-0.21,0.26
2.361,0.03,0.07,-0.03,0.08
2.371,-0.13,0.04,0.01,0.13
2.381,-0.16,-0.06,0.00,0.17
2.391,-0.03,-0.08,-0.01,0.09
2.401,0.18,0.02,-0.07,0.19
2.411,0.33,0.06,-0.12,0.36
2.421,0.29,-0.01,0.02,0.29
2.431,0.16,-0.07,0.10,0.20
2.441,0.02,-0.08,-0.18,0.20
2.451,-0.10,-0.04,-0.30,0.32
2.461,-0.24,0.03,0.14,0.28
2.471,-0.10,0.23,0.13,0.28
2.481,0.18,0.29,0.06,0.35
2.491,0.26,0.14,0.08,0.30
2.501,0.15,-0.02,-0.02,0.15
2.511,0.01,-0.05,-0.04,0.06
2.521,-0.07,-0.04,-0.05,0.10
2.531,-0.08,-0.08,-0.04,0.12
2.541,-0.11,-0.09,-0.07,0.16
2.551,-0.20,-0.06,-0.04,0.22
2.561,-0.15,0.03,0.04,0.15
2.571,0.04,0.14,0.06,0.16
2.581,0.23,0.15,-0.04,0.27
2.591,0.20,0.09,-0.05,0.23
2.601,0.10,0.03,-0.02,0.10
2.611,-0.04,-0.04,-0.02,0.06
2.621,-0.07,-0.06,-0.05,0.11
2.631,-0.01,-0.04,-0.05,0.07
2.641,0.02,-0.06,-0.04,0.08
2.651,0.00,-0.06,0.00,0.06
2.660,-0.01,-0.01,0.03,0.03
2.670,-0.08,0.12,0.10,0.18
2.680,-0.12,0.05,-0.02,0.13
2.690,0.02,-0.04,-0.06,0.07
2.700,0.19,0.03,-0.08,0.21
2.710,0.21,0.02,-0.12,0.24
2.720,0.05,-0.02,-0.02,0.06
2.730,-0.02,-0.04,0.02,0.05
2.740,0.00,-0.02,-0.04,0.04
2.750,-0.02,0.01,-0.04,0.04
2.760,0.06,-0.03,-0.06,0.09
2.770,0.11,0.05,-0.17,0.21
2.780,0.05,0.16,-0.07,0.18
2.790,-0.12,0.20,0.09,0.26
2.800,-0.20,0.11,0.16,0.27
2.810,0.01,0.04,0.14,0.14
2.820,0.31,0.08,0.16,0.35
