time,ax,ay,az,atotal
0.000,-0.05,0.38,-0.20,0.43
0.010,-0.03,0.41,-0.09,0.42
0.020,-0.01,0.36,0.11,0.37
0.030,-0.08,0.33,0.23,0.41
0.040,-0.12,0.40,0.25,0.48
0.050,-0.12,0.49,0.23,0.55
0.060,-0.06,0.56,0.11,0.57
0.070,0.20,0.72,-0.06,0.75
0.080,0.29,0.62,0.03,0.68
0.090,0.21,0.42,0.27,0.54
0.100,0.11,0.31,0.27,0.43
0.110,0.29,0.36,0.40,0.61
0.120,0.53,0.43,0.72,1.00
0.130,0.62,0.41,1.08,1.31
0.140,0.29,0.22,1.40,1.45
0.150,-0.16,-0.09,1.27,1.28
0.159,-0.20,-0.37,0.94,1.03
0.169,-0.11,-0.53,0.63,0.83
0.179,-0.06,-0.56,0.67,0.88
0.189,0.13,-0.59,0.87,1.06
0.199,0.21,-0.67,0.79,1.06
0.209,0.24,-0.74,0.70,1.04
0.219,0.23,-0.61,0.65,0.92
0.229,0.13,-0.34,0.61,0.71
0.239,0.31,-0.11,0.78,0.85
0.249,0.56,-0.03,0.69,0.89
0.259,0.78,-0.07,0.35,0.85
0.269,1.07,-0.09,0.09,1.08
0.279,1.00,-0.03,0.16,1.02
0.289,0.62,-0.17,0.88,1.09
0.299,0.01,-0.42,1.32,1.38
0.309,-0.24,-0.57,1.15,1.30
0.319,0.04,-0.41,0.44,0.60
0.329,0.21,0.00,-0.31,0.37
0.339,0.24,0.36,-0.56,0.71
0.349,0.30,0.53,-0.65,0.89
0.359,0.29,0.51,-0.73,0.94
0.369,0.36,0.44,-0.89,1.05
0.379,0.51,0.35,-0.83,1.04
0.389,0.46,0.45,-0.79,1.02
0.399,0.30,0.82,-1.02,1.34
0.409,0.28,1.14,-1.16,1.65
0.419,0.20,1.19,-1.27,1.76
0.429,0.15,0.92,-1.44,1.72
0.439,0.23,0.58,-1.66,1.78
0.448,0.18,0.20,-1.31,1.34
0.459,-0.08,-0.22,-0.72,0.75
0.469,-0.32,-0.30,-0.52,0.68
0.478,-0.38,0.02,-0.24,0.45
0.488,-0.36,0.46,0.18,0.61
0.498,-0.30,0.68,0.43,0.85
0.508,-0.20,0.66,0.14,0.71
0.518,0.09,0.53,-0.37,0.65
0.528,0.24,0.34,-0.63,0.75
0.538,0.05,0.02,-0.64,0.65
0.548,-0.01,-0.22,-0.79,0.82
0.558,0.02,-0.14,-1.10,1.11
0.568,0.11,0.05,-1.18,1.19
0.578,0.20,-0.02,-1.09,1.11
0.588,0.26,-0.20,-0.87,0.93
0.598,0.32,-0.43,-0.33,0.63
0.608,0.23,-0.51,0.22,0.60
0.618,0.25,-0.72,0.41,0.87
0.628,0.13,-0.90,0.29,0.95
0.638,-0.12,-0.70,0.05,0.71
0.648,-0.22,-0.49,-0.09,0.55
0.658,-0.19,-0.33,-0.18,0.42
0.668,-0.37,-0.21,-0.14,0.45
0.678,-0.43,-0.17,0.21,0.50
0.688,-0.51,-0.17,0.32,0.62
0.698,-0.58,-0.15,0.15,0.62
0.708,-0.69,-0.04,-0.08,0.69
0.718,-0.82,0.07,-0.47,0.95
0.727,-0.88,0.09,-0.91,1.26
0.737,-0.81,0.12,-0.97,1.27
