time,ax,ay,az,atotal
1.465,-7.17,0.20,-6.17,9.46
1.475,-7.33,0.20,-5.97,9.46
1.485,-7.48,0.19,-5.80,9.47
1.495,-7.64,0.19,-5.60,9.47
1.505,-7.77,0.19,-5.41,9.47
1.515,-7.90,0.19,-5.22,9.47
1.525,-8.01,0.19,-5.04,9.47
1.535,-8.14,0.18,-4.87,9.48
1.545,-8.24,0.19,-4.69,9.48
1.555,-8.33,0.18,-4.52,9.48
1.565,-8.43,0.18,-4.32,9.48
1.574,-8.52,0.16,-4.18,9.49
1.584,-8.60,0.17,-4.02,9.49
1.594,-8.67,0.17,-3.87,9.49
1.604,-8.73,0.17,-3.72,9.49
1.614,-8.80,0.16,-3.56,9.50
1.624,-8.86,0.16,-3.42,9.50
1.634,-8.87,0.18,-3.30,9.47
1.644,3.91,-3.08,7.30,8.83
1.656,85.55,0.68,56.49,102.52
1.665,125.13,-9.25,82.77,150.31
1.674,71.27,-9.55,128.70,147.43
1.684,-2.14,-7.22,104.16,104.43
1.694,-2.90,-3.19,13.45,14.12
1.704,-0.69,0.40,-6.80,6.84
1.714,-3.65,0.85,-7.67,8.54
1.724,-4.69,0.46,-8.75,9.94
1.734,-5.18,0.12,-8.45,9.91
1.744,-5.61,0.10,-8.07,9.83
1.754,-5.94,0.01,-7.81,9.81
1.765,-6.32,-0.10,-7.45,9.77
1.774,-6.69,-0.14,-7.10,9.76
1.784,-7.05,-0.19,-6.71,9.73
1.794,-7.31,-0.18,-6.30,9.65
1.804,-7.28,0.17,-5.92,9.38
1.814,-6.83,1.10,-5.64,8.93
1.824,-6.19,2.22,-5.66,8.68
1.834,-5.55,2.78,-5.56,8.33
1.843,-2.15,2.93,-1.68,4.01
1.853,4.75,2.03,4.56,6.89
1.863,7.09,-0.07,4.65,8.48
1.873,7.02,-1.32,5.29,8.89
1.883,4.00,-2.04,5.46,7.07
1.893,2.05,-1.98,5.93,6.58
1.903,1.80,-1.43,7.60,7.94
1.913,1.29,-0.69,8.10,8.23
1.923,-0.38,-0.32,3.39,3.43
1.933,-1.45,0.04,-1.72,2.25
1.943,-1.72,0.45,-3.82,4.21
1.953,-1.41,0.68,-3.79,4.10
1.963,-0.44,0.54,-1.47,1.62
1.973,0.61,0.09,1.19,1.34
1.983,1.06,-0.29,2.16,2.42
1.993,0.88,-0.33,1.42,1.71
2.003,0.25,-0.00,0.04,0.26
2.013,-0.43,0.18,-0.94,1.05
2.023,-0.58,0.12,-0.87,1.05
2.033,-0.15,-0.04,0.16,0.22
2.043,0.32,-0.13,0.68,0.77
2.053,0.37,-0.03,0.27,0.46
2.063,0.08,0.11,-0.28,0.31
2.073,-0.18,0.14,-0.35,0.42
2.083,-0.14,0.02,-0.01,0.14
2.093,0.05,-0.07,0.26,0.28
2.103,0.14,-0.05,0.12,0.20
2.113,0.06,0.05,-0.10,0.13
2.123,-0.04,0.07,-0.15,0.16
2.133,-0.03,0.03,0.02,0.04
2.142,0.04,-0.01,0.08,0.09
2.152,0.06,0.01,0.03,0.07
2.162,0.04,0.02,-0.06,0.07
2.172,-0.01,0.02,-0.05,0.05
2.182,0.01,0.03,-0.01,0.03
2.192,0.04,0.02,0.02,0.05
2.202,0.05,0.01,-0.01,0.05
2.212,0.03,0.03,-0.02,0.05
2.222,-0.00,0.03,-0.01,0.03
2.232,0.01,0.02,-0.00,0.02
2.242,0.02,0.00,-0.02,0.03
2.252,0.04,0.01,-0.01,0.04
2.262,0.03,0.01,-0.02,0.04
2.272,0.03,0.01,-0.01,0.03
2.282,-0.00,0.02,0.02,0.02
2.292,0.01,0.01,-0.00,0.02
2.302,0.03,0.01,-0.00,0.03
2.312,0.03,0.01,-0.01,0.04
2.322,0.03,0.03,-0.01,0.04
2.332,0.01,0.02,-0.02,0.03
2.342,0.02,0.00,0.00,0.02
2.352,0.02,0.01,-0.01,0.03
2.362,0.02,0.02,-0.01,0.03
2.372,0.02,0.03,0.00,0.03
2.382,0.01,0.02,-0.00,0.02
2.392,0.01,0.02,-0.02,0.03
2.402,0.01,0.01,-0.01,0.02
2.411,0.03,0.00,-0.01,0.04
2.422,0.02,0.01,0.00,0.02
2.432,0.02,0.00,-0.03,0.03
2.441,0.03,0.02,-0.02,0.04
2.451,0.02,0.01,0.00,0.02
2.461,0.02,0.01,-0.01,0.02
2.471,0.01,0.01,-0.01,0.02
2.481,0.03,0.01,-0.01,0.03
2.491,0.01,0.02,-0.01,0.02
2.501,0.02,0.02,-0.02,0.03
2.511,0.02,0.02,-0.00,0.03
2.521,0.01,0.01,0.00,0.02
2.531,0.02,-0.00,-0.01,0.02
2.541,0.02,0.01,-0.01,0.03
2.551,0.00,0.02,-0.01,0.02
2.561,0.02,0.01,-0.01,0.03
2.571,0.02,0.01,-0.00,0.03
2.581,0.01,0.02,-0.00,0.02
2.591,0.02,0.00,-0.02,0.03
2.601,0.03,-0.00,0.00,0.03
2.611,0.01,0.01,-0.01,0.02
2.621,0.03,0.02,-0.01,0.03
2.631,0.01,0.01,0.00,0.02
2.641,0.02,0.02,-0.00,0.03
2.651,0.01,0.02,-0.01,0.02
2.661,0.01,0.01,-0.01,0.02
2.671,0.01,0.01,-0.01,0.01
2.681,0.01,0.00,-0.01,0.01
2.691,0.01,0.00,-0.01,0.01
2.701,0.02,0.00,-0.01,0.02
2.710,0.01,0.01,-0.01,0.02
2.721,0.01,0.02,-0.03,0.04
2.731,0.01,0.02,-0.02,0.03
2.740,0.02,0.01,-0.00,0.03
2.751,0.01,0.01,0.01,0.02
2.760,0.01,0.01,-0.01,0.02
2.770,0.01,0.01,-0.01,0.02
2.780,0.01,0.01,-0.00,0.01
2.790,0.00,0.00,0.01,0.01
2.800,0.00,0.02,-0.01,0.02
2.810,0.01,0.01,-0.01,0.02
2.820,0.02,0.01,-0.01,0.03
2.830,0.00,0.02,-0.01,0.02
2.840,0.02,0.01,-0.01,0.02
2.850,0.02,0.00,-0.00,0.02
2.860,0.01,-0.00,-0.01,0.02
2.870,0.01,0.01,-0.02,0.02
2.880,0.01,0.00,-0.02,0.02
2.890,0.02,0.01,-0.01,0.02
2.900,0.02,0.01,-0.00,0.02
2.910,0.02,0.02,-0.01,0.03
2.920,0.01,0.01,-0.02,0.03
2.930,0.02,0.04,-0.01,0.05
2.940,-0.09,0.04,-0.07,0.12
2.950,-0.18,-0.16,-0.11,0.27
2.960,0.13,-0.08,-0.09,0.18
2.970,0.17,0.03,0.11,0.20
2.980,0.05,0.08,0.12,0.15
2.990,0.07,0.05,-0.06,0.11
3.000,0.07,-0.00,-0.17,0.18
3.010,0.04,-0.06,-0.03,0.08
3.020,0.00,0.03,0.05,0.06
3.030,-0.30,0.16,0.09,0.35
3.040,-0.29,0.11,0.16,0.35
3.049,0.11,0.00,0.10,0.15
3.059,0.23,-0.05,-0.02,0.23
3.069,0.15,-0.07,-0.10,0.19
3.079,0.02,-0.07,-0.11,0.13
3.089,-0.05,-0.01,-0.13,0.14
3.099,-0.03,0.02,-0.15,0.16
3.109,0.03,0.04,-0.13,0.14
3.119,0.04,-0.02,-0.04,0.06
3.129,0.04,-0.05,0.07,0.10
3.139,0.01,0.00,0.12,0.12
3.149,-0.01,0.11,0.05,0.13
3.159,-0.03,0.16,0.04,0.17
3.169,-0.04,0.09,0.05,0.11
3.179,0.01,-0.01,0.01,0.02
3.189,0.11,-0.07,0.01,0.13
3.199,0.12,-0.03,0.00,0.13
3.209,0.07,-0.04,-0.01,0.08
3.219,0.03,-0.05,-0.04,0.07
3.229,0.01,-0.06,-0.01,0.06
3.239,-0.04,0.02,0.04,0.06
3.249,-0.04,0.10,0.06,0.13
3.259,-0.07,0.12,0.05,0.14
3.269,-0.08,0.04,0.01,0.09
