time,ax,ay,az,atotal
0.000,0.32,-0.04,-0.12,0.35
0.010,0.37,-0.13,-0.10,0.40
0.020,0.34,-0.17,-0.08,0.39
0.030,0.29,-0.07,0.01,0.30
0.040,0.18,0.03,0.07,0.20
0.050,0.08,0.09,0.10,0.16
0.060,-0.01,0.07,0.10,0.12
0.070,0.04,0.06,0.12,0.14
0.080,0.14,-0.00,0.20,0.24
0.090,0.20,-0.02,0.18,0.27
0.100,0.13,-0.00,0.14,0.19
0.109,0.04,0.03,0.09,0.10
0.120,-0.05,0.12,0.09,0.15
0.129,-0.21,0.22,0.12,0.32
0.140,-0.37,0.16,0.10,0.41
0.149,-0.30,0.05,0.02,0.31
0.159,-0.11,-0.02,-0.12,0.17
0.169,0.04,-0.04,-0.27,0.27
0.179,0.09,0.02,-0.41,0.42
0.189,0.18,0.10,-0.45,0.50
0.199,0.32,0.15,-0.42,0.55
0.209,0.48,0.25,-0.16,0.56
0.219,0.45,0.19,0.26,0.56
0.229,0.38,0.02,0.55,0.67
0.239,0.17,0.04,0.74,0.76
0.249,-0.05,0.07,0.74,0.75
0.259,-0.05,0.06,0.57,0.57
0.269,0.03,0.01,0.29,0.29
0.279,0.01,-0.02,0.02,0.03
0.289,-0.03,-0.01,-0.10,0.11
0.299,-0.06,0.03,-0.28,0.29
0.309,-0.12,0.12,-0.44,0.48
0.319,-0.19,0.16,-0.59,0.64
0.329,-0.12,0.12,-0.74,0.76
0.339,0.02,0.07,-0.79,0.80
0.349,0.19,0.09,-0.75,0.77
0.359,0.36,0.20,-0.47,0.63
0.369,0.31,0.07,-0.26,0.42
0.379,0.14,-0.10,-0.13,0.21
0.389,-0.00,-0.11,-0.02,0.11
0.399,-0.03,-0.06,0.03,0.08
0.409,-0.03,-0.05,0.06,0.08
0.419,-0.11,0.00,0.06,0.12
0.428,-0.14,-0.06,-0.00,0.16
0.438,-0.13,-0.16,-0.10,0.23
0.448,-0.12,-0.21,-0.20,0.31
0.458,-0.09,-0.16,-0.37,0.42
0.468,-0.07,-0.23,-0.54,0.59
0.478,0.12,-0.29,-0.54,0.62
0.488,0.48,-0.13,-0.77,0.92
0.498,0.33,-0.62,-0.93,1.17
0.508,0.39,-0.85,-1.08,1.43
0.518,-0.14,-0.67,-1.43,1.58
