time,ax,ay,az,atotal
0.000,0.14,-0.18,-0.13,0.26
0.010,0.36,-0.10,0.17,0.41
0.020,0.31,0.02,0.27,0.41
0.030,-0.03,0.13,0.10,0.17
0.040,-0.26,0.23,-0.00,0.35
0.050,-0.21,0.17,-0.06,0.28
0.060,0.01,-0.03,0.04,0.05
0.070,0.09,-0.09,0.03,0.13
0.080,0.04,0.03,-0.09,0.10
0.090,0.04,0.06,-0.14,0.16
0.100,0.00,0.06,-0.16,0.17
0.110,-0.02,-0.03,-0.07,0.08
0.120,-0.05,-0.08,-0.01,0.09
0.130,-0.09,-0.02,-0.06,0.11
0.140,-0.07,0.04,-0.16,0.18
0.149,0.11,-0.01,-0.15,0.19
0.159,0.34,-0.14,0.06,0.37
0.170,0.08,-0.01,0.13,0.15
0.179,0.01,0.08,0.10,0.13
0.190,0.06,0.05,0.04,0.09
0.199,0.01,0.09,-0.08,0.12
0.209,0.12,0.07,-0.06,0.15
0.219,0.16,0.04,-0.06,0.18
0.229,0.20,0.05,-0.08,0.22
0.239,0.15,0.02,-0.11,0.19
0.249,0.13,0.00,-0.05,0.14
0.259,0.13,-0.04,0.11,0.17
0.269,0.17,-0.04,0.23,0.29
0.279,0.14,0.01,0.12,0.19
0.289,0.22,0.10,0.01,0.24
0.299,0.16,0.14,-0.07,0.22
0.309,0.11,0.07,-0.12,0.18
0.319,0.08,0.03,-0.18,0.20
0.329,0.15,0.06,-0.20,0.26
0.339,0.21,0.06,-0.12,0.24
0.349,0.24,0.16,-0.00,0.28
0.359,0.25,0.14,0.00,0.28
0.369,0.17,0.07,-0.02,0.18
0.379,0.07,0.04,-0.16,0.18
0.389,0.05,0.02,-0.35,0.36
0.399,0.07,-0.05,-0.39,0.40
0.409,0.10,0.10,-0.42,0.44
0.419,-0.06,0.24,-0.81,0.84
0.428,-0.57,0.12,-1.47,1.59
0.439,-0.99,0.80,-3.31,3.55
0.448,-0.79,0.51,-5.39,5.47
0.458,-0.98,-0.20,-7.80,7.86
0.468,-0.83,-0.10,-9.66,9.70
0.478,-0.66,-0.22,-9.74,9.77
0.488,-0.77,-0.33,-9.71,9.75
0.498,-0.89,-0.41,-9.70,9.75
0.508,-0.99,-0.51,-9.67,9.74
0.518,-1.07,-0.60,-9.65,9.73
0.528,-1.19,-0.69,-9.62,9.72
0.538,-1.28,-0.76,-9.60,9.71
0.548,-1.37,-0.86,-9.55,9.69
0.558,-1.47,-0.93,-9.53,9.68
0.568,-1.56,-1.03,-9.49,9.67
0.578,-1.67,-1.11,-9.47,9.67
0.588,-1.76,-1.19,-9.41,9.65
0.598,-1.85,-1.27,-9.37,9.64
0.608,-1.94,-1.36,-9.33,9.63
0.618,-2.03,-1.46,-9.28,9.61
0.628,-2.12,-1.53,-9.25,9.61
0.638,-2.20,-1.61,-9.20,9.60
0.648,-2.28,-1.69,-9.14,9.57
0.658,-2.37,-1.77,-9.10,9.57
0.668,-2.44,-1.85,-9.03,9.54
0.678,-2.53,-1.94,-8.98,9.53
0.688,-2.60,-2.01,-8.93,9.51
0.698,-2.69,-2.09,-8.87,9.50
0.708,-2.75,-2.15,-8.80,9.47
0.718,-2.82,-2.23,-8.74,9.45
0.727,-2.89,-2.32,-8.65,9.41
0.738,-2.94,-2.31,-8.60,9.37
0.747,-3.04,-2.14,-8.79,9.54
0.757,-3.98,1.09,-17.22,17.70
0.767,2.73,4.98,-22.58,23.28
0.777,56.68,-8.55,168.08,177.58
0.787,51.39,-34.24,212.89,221.66
0.797,6.78,-18.10,38.23,42.84
0.807,-0.14,0.63,-12.42,12.43
0.817,-2.28,1.04,-9.83,10.15
0.827,-2.89,-0.21,-9.67,10.09
0.837,-2.93,-0.92,-9.48,9.96
0.847,-3.12,-1.27,-9.36,9.95
0.857,-3.09,-1.57,-9.29,9.91
0.867,-2.98,-1.92,-9.29,9.94
0.877,-2.94,-2.20,-9.26,9.96
0.887,-2.94,-2.48,-9.20,9.97
0.897,-3.02,-2.63,-9.56,10.37
0.907,-3.14,-2.36,-10.83,11.52
0.917,-3.39,-1.77,-12.02,12.62
0.927,-3.34,-0.55,-12.38,12.83
0.937,-2.49,0.82,-11.92,12.21
0.947,-1.56,1.07,-10.61,10.78
0.957,-1.27,0.55,-9.32,9.43
0.967,-0.84,-0.20,-7.78,7.83
0.977,2.55,-1.12,2.58,3.79
0.987,8.46,-2.33,23.43,25.02
0.997,8.08,-4.94,24.75,26.50
1.007,3.69,-5.99,21.30,22.43
1.017,-0.02,-3.95,8.99,9.82
1.026,-0.33,-0.81,-0.29,0.93
1.036,-0.82,0.27,-3.20,3.32
1.046,-1.51,0.78,-5.10,5.38
1.056,-1.65,1.44,-5.11,5.56
1.066,-1.22,1.94,-3.08,3.84
1.076,-0.50,1.49,0.22,1.58
1.086,0.44,0.46,2.78,2.85
1.096,1.00,-0.54,3.20,3.39
1.106,0.75,-0.99,1.16,1.70
1.116,0.22,-0.50,-1.12,1.24
1.126,-0.27,0.17,-1.57,1.60
1.136,-0.35,0.40,-0.49,0.72
1.146,-0.01,0.11,0.71,0.72
1.156,0.27,-0.17,0.65,0.72
1.166,0.23,0.01,-0.15,0.27
1.176,-0.02,0.27,-0.47,0.55
1.186,-0.10,0.18,-0.10,0.23
1.196,0.02,-0.16,0.29,0.33
1.206,0.18,-0.22,0.10,0.30
1.216,0.09,0.06,-0.16,0.19
1.226,-0.05,0.23,-0.18,0.30
1.236,-0.01,0.14,0.02,0.14
1.246,0.09,-0.03,0.11,0.14
1.256,0.12,-0.03,0.01,0.13
1.266,0.04,0.04,-0.06,0.08
1.276,-0.00,0.04,-0.07,0.08
1.286,0.04,0.01,0.01,0.04
1.295,0.09,0.07,-0.01,0.12
1.305,0.07,0.12,-0.02,0.14
1.315,0.03,0.05,-0.02,0.06
1.325,0.02,-0.04,-0.01,0.05
1.335,0.07,-0.05,-0.00,0.09
1.345,0.06,0.05,-0.04,0.08
1.355,0.04,0.09,-0.02,0.10
1.365,0.05,0.05,-0.03,0.08
1.375,0.06,0.02,-0.02,0.07
1.385,0.05,0.00,-0.03,0.06
1.395,0.03,0.02,-0.03,0.05
1.405,0.02,0.03,-0.02,0.05
1.415,0.06,0.04,-0.02,0.08
1.425,0.05,0.06,-0.03,0.09
1.435,0.04,0.05,-0.04,0.07
1.445,0.03,0.03,-0.04,0.06
1.455,0.03,-0.00,-0.05,0.06
1.465,0.06,0.03,-0.03,0.08
1.475,0.05,0.06,-0.02,0.08
1.485,0.05,0.06,-0.01,0.08
1.495,0.04,0.04,-0.00,0.05
1.505,0.04,0.02,-0.02,0.05
1.515,0.03,0.01,-0.01,0.04
1.525,0.04,0.02,-0.02,0.05
1.535,0.04,0.04,-0.03,0.07
1.544,0.05,0.04,-0.03,0.08
1.555,0.05,0.05,-0.04,0.08
1.565,0.04,0.03,-0.03,0.06
1.575,0.05,0.02,-0.02,0.06
1.584,0.05,0.03,-0.03,0.07
1.594,0.04,0.03,-0.03,0.06
1.604,0.03,0.04,-0.04,0.07
1.614,0.04,0.06,-0.02,0.07
1.624,0.04,0.04,-0.02,0.06
1.634,0.05,0.02,0.01,0.06
1.644,0.04,0.01,-0.02,0.04
1.654,0.04,0.04,-0.02,0.06
1.664,0.04,0.06,-0.01,0.07
1.674,0.04,0.04,-0.02,0.06
1.684,0.04,0.04,-0.02,0.06
1.694,0.04,0.03,-0.03,0.06
1.704,0.04,0.03,-0.03,0.06
1.714,0.05,0.03,-0.03,0.06
1.724,0.04,0.03,-0.01,0.06
1.734,0.03,0.04,-0.01,0.05
1.744,0.05,0.03,-0.03,0.06
1.754,0.05,0.02,-0.03,0.06
1.764,0.05,0.03,-0.03,0.06
1.774,0.05,0.03,-0.02,0.06
1.784,0.12,0.17,-0.04,0.21
1.794,0.05,0.30,-0.22,0.38
1.804,0.09,0.25,-0.21,0.34
1.814,0.15,0.13,-0.11,0.23
1.824,0.17,0.16,-0.04,0.24
1.834,0.19,0.22,0.01,0.29
1.844,-0.11,-0.09,0.18,0.23
1.854,-0.06,-0.22,0.15,0.27
1.863,-0.06,-0.19,0.03,0.20
1.873,0.15,-0.06,-0.12,0.20
1.883,0.13,-0.08,0.05,0.16
1.893,0.13,-0.06,0.12,0.18
1.903,-0.18,-0.36,-0.03,0.40
1.913,-0.33,-0.53,0.12,0.63
1.923,0.03,-0.22,0.01,0.22
1.933,-0.13,0.27,-0.26,0.40
1.943,0.17,0.48,0.11,0.52
1.953,0.16,0.45,0.36,0.60
1.963,-0.46,-0.16,-0.32,0.58
1.973,-0.03,-0.28,-0.59,0.66
1.983,0.18,-0.19,-0.15,0.30
1.993,-0.03,-0.20,0.38,0.43
2.003,-0.67,-0.08,0.27,0.73
2.013,-0.64,0.17,-0.04,0.66
2.023,0.08,0.45,-0.18,0.49
2.033,0.62,0.44,-0.22,0.79
2.043,0.88,0.19,-0.12,0.91
2.053,0.99,0.09,-0.09,1.00
2.063,0.81,0.20,-0.26,0.87
2.073,0.47,-0.06,-0.10,0.49
2.083,0.19,-0.35,-0.06,0.40
2.093,-0.16,-0.29,-0.05,0.33
2.103,-0.60,0.01,0.09,0.60
2.112,-1.01,0.31,0.31,1.10
2.123,-0.97,0.30,0.31,1.06
2.132,-0.14,0.06,0.00,0.15
2.143,0.45,-0.05,-0.18,0.48
2.153,0.64,-0.07,-0.16,0.66
2.162,0.64,-0.01,-0.10,0.64
2.172,0.44,0.09,-0.02,0.45
2.182,0.26,0.15,0.01,0.30
2.192,0.03,0.09,0.05,0.11
2.202,-0.22,-0.08,0.07,0.25
2.212,-0.38,-0.21,0.11,0.45
2.222,-0.52,-0.31,0.06,0.61
2.232,-0.41,-0.24,-0.04,0.48
2.242,-0.00,-0.07,-0.03,0.08
2.252,0.32,0.20,0.03,0.38
2.262,0.34,0.16,0.02,0.38
2.272,0.22,0.01,0.03,0.22
2.282,0.02,-0.04,-0.04,0.05
2.292,-0.16,0.13,-0.01,0.21
2.302,-0.20,0.31,-0.04,0.37
2.312,-0.12,0.33,-0.11,0.37
2.322,-0.06,0.06,-0.18,0.19
2.332,0.13,-0.10,-0.18,0.24
2.342,0.29,0.01,-0.13,0.32
2.352,0.15,0.01,0.03,0.15
2.362,0.02,-0.10,-0.03,0.11
2.372,-0.02,-0.08,-0.08,0.12
2.382,0.04,0.07,0.07,0.11
2.392,0.25,0.25,0.15,0.38
2.402,0.22,0.22,0.08,0.32
2.411,-0.10,0.06,-0.05,0.13
2.422,-0.17,-0.07,-0.04,0.19
2.431,0.04,-0.16,0.02,0.16
2.441,0.22,-0.18,0.04,0.28
2.451,0.10,-0.04,-0.00,0.11
2.461,-0.05,0.16,-0.05,0.17
2.471,-0.07,0.09,-0.07,0.14
2.481,0.05,-0.02,-0.04,0.07
2.491,0.14,-0.01,-0.03,0.14
2.501,0.08,0.10,-0.09,0.16
2.511,0.09,0.09,-0.07,0.15
2.521,0.06,0.01,-0.01,0.06
2.531,-0.01,0.01,0.01,0.02
2.541,-0.09,-0.02,-0.05,0.11
2.551,-0.11,-0.11,-0.10,0.19
2.561,-0.09,-0.09,0.01,0.13
2.571,-0.14,0.04,0.10,0.18
2.581,0.09,0.18,0.04,0.21
2.591,0.26,0.11,-0.08,0.29
2.601,0.23,0.02,-0.05,0.24
2.611,0.15,0.05,-0.02,0.16
2.621,-0.04,0.05,0.03,0.07
2.631,-0.11,-0.10,-0.08,0.17
2.641,-0.11,-0.13,-0.28,0.33
2.651,0.03,0.10,-0.37,0.39
2.661,0.22,0.26,-0.04,0.35
2.671,0.27,0.29,0.16,0.43
2.681,0.21,0.26,0.18,0.38
2.691,0.12,0.21,0.20,0.31
2.700,0.06,0.21,0.27,0.35
2.710,-0.06,-0.24,0.20,0.32
2.720,0.08,-0.65,0.30,0.72
