time,ax,ay,az,atotal
0.000,0.07,0.34,-0.59,0.69
0.010,0.02,0.27,-0.31,0.42
0.020,-0.07,0.19,-0.04,0.20
0.030,0.01,0.16,0.06,0.17
0.040,0.18,0.23,0.09,0.30
0.050,0.34,0.32,0.16,0.49
0.060,0.41,0.37,0.25,0.61
0.070,0.38,0.44,0.27,0.64
0.080,0.35,0.57,0.19,0.69
0.090,0.35,0.71,0.15,0.81
0.100,0.27,0.69,0.09,0.75
0.110,0.26,0.56,-0.06,0.62
0.120,0.25,0.27,-0.16,0.40
0.129,0.11,-0.07,-0.11,0.17
0.140,-0.33,-0.13,-0.04,0.36
0.149,-0.25,-0.25,0.01,0.35
0.159,0.03,-0.52,-0.05,0.53
0.170,0.17,-0.53,-0.15,0.58
0.179,0.22,-0.41,-0.34,0.57
0.189,0.08,-0.36,-0.25,0.45
0.199,0.06,-0.56,0.22,0.61
0.209,0.19,-0.90,0.69,1.15
0.219,0.28,-1.33,0.91,1.63
0.229,0.41,-1.67,0.86,1.93
0.239,0.48,-1.73,0.70,1.92
0.249,0.26,-1.49,0.35,1.55
0.259,-0.22,-1.01,-0.15,1.05
0.269,-0.56,-0.47,-0.52,0.90
0.279,-0.56,-0.30,-0.65,0.91
0.289,-0.58,-0.41,-0.73,1.02
0.299,-0.55,-0.51,-0.77,1.08
0.309,-0.50,-0.53,-0.72,1.03
0.319,-0.51,-0.48,-0.68,0.98
0.329,-0.57,-0.33,-0.65,0.93
0.339,-0.55,-0.17,-0.62,0.84
0.349,-0.47,-0.12,-0.60,0.77
0.359,-0.31,-0.16,-0.62,0.71
0.369,-0.15,-0.14,-0.55,0.59
0.379,-0.17,-0.11,-0.37,0.42
0.389,-0.17,-0.05,-0.26,0.31
0.399,-0.06,0.06,-0.17,0.19
0.408,0.13,0.20,-0.10,0.26
0.418,0.28,0.25,0.04,0.38
0.428,0.40,0.24,0.09,0.47
0.438,0.51,0.16,0.01,0.53
0.450,0.44,0.15,-0.03,0.46
0.458,0.31,0.20,-0.01,0.36
0.468,0.22,0.28,0.00,0.35
0.478,0.25,0.31,-0.00,0.40
0.488,0.20,0.24,-0.08,0.32
0.498,0.07,0.20,-0.14,0.25
0.508,-0.02,0.18,-0.08,0.20
0.518,-0.17,0.15,0.13,0.27
0.528,-0.17,0.18,0.29,0.38
0.538,-0.10,0.21,0.27,0.35
0.548,-0.11,0.23,0.04,0.26
0.558,-0.19,0.29,-0.24,0.42
0.568,-0.30,0.26,-0.59,0.71
0.578,-0.24,0.20,-0.92,0.97
0.588,-0.03,0.09,-1.16,1.16
0.598,0.45,-0.05,-1.49,1.55
0.608,0.76,-0.01,-2.07,2.20
0.618,0.73,0.82,-2.78,2.99
0.628,-0.98,0.18,-5.18,5.28
0.638,-1.82,-0.87,-7.94,8.19
0.648,-0.80,-0.80,-9.39,9.45
