time,ax,ay,az,atotal
0.000,0.12,0.03,0.13,0.18
0.010,0.12,0.02,0.16,0.20
0.020,0.07,0.03,0.16,0.18
0.030,0.02,0.07,0.11,0.13
0.040,0.00,0.09,0.03,0.10
0.050,-0.03,0.10,-0.06,0.12
0.060,-0.02,0.05,-0.13,0.14
0.070,0.01,0.01,-0.11,0.11
0.080,0.03,0.04,-0.04,0.07
0.090,0.04,0.07,-0.01,0.09
0.100,-0.02,0.09,0.01,0.09
0.110,-0.03,0.10,0.03,0.11
0.120,-0.02,0.12,0.01,0.12
0.130,-0.05,0.10,-0.00,0.11
0.140,-0.07,0.06,0.01,0.10
0.149,-0.03,0.01,0.02,0.04
0.159,-0.02,-0.02,0.06,0.06
0.169,-0.06,-0.04,0.10,0.12
0.179,-0.13,-0.04,0.11,0.18
0.189,-0.16,-0.00,0.10,0.19
0.199,-0.10,0.03,0.06,0.12
0.209,-0.00,0.05,-0.01,0.05
0.219,0.12,0.08,-0.10,0.18
0.229,0.21,0.09,-0.12,0.26
0.239,0.18,0.09,-0.15,0.25
0.249,0.10,0.08,-0.15,0.20
0.259,0.07,0.09,-0.14,0.18
0.269,0.06,0.07,-0.12,0.16
0.279,0.10,0.03,-0.11,0.15
0.289,0.12,0.01,-0.11,0.16
0.299,0.15,0.01,-0.09,0.17
0.309,0.19,-0.00,-0.06,0.20
0.319,0.24,0.01,-0.02,0.24
0.329,0.25,-0.02,0.03,0.25
0.339,0.23,-0.04,0.05,0.24
0.349,0.18,-0.06,0.05,0.20
0.359,0.12,-0.05,0.03,0.14
0.369,0.06,-0.05,0.05,0.09
0.379,0.03,-0.03,0.05,0.07
0.389,-0.01,-0.00,0.06,0.06
0.399,-0.02,0.00,0.07,0.08
0.409,0.06,-0.03,0.11,0.13
0.419,0.15,-0.06,0.10,0.18
0.429,0.18,-0.04,0.04,0.19
0.439,0.14,-0.03,-0.06,0.16
0.448,0.02,-0.03,-0.14,0.14
0.458,-0.05,-0.00,-0.15,0.16
0.468,-0.03,0.03,-0.15,0.15
0.478,0.01,0.04,-0.08,0.09
0.488,0.07,0.09,-0.06,0.13
0.498,0.05,0.11,-0.05,0.13
0.508,-0.01,0.11,-0.06,0.13
0.518,-0.05,0.09,-0.13,0.16
0.528,-0.11,0.09,-0.20,0.24
0.538,-0.09,0.08,-0.24,0.27
0.548,0.02,0.07,-0.27,0.28
0.558,0.14,0.07,-0.26,0.30
0.568,0.25,0.10,-0.31,0.41
0.578,0.30,0.04,-0.29,0.42
0.588,0.20,-0.04,-0.21,0.30
0.598,-0.03,-0.12,-0.16,0.20
0.608,-0.27,-0.13,-0.15,0.33
0.618,-0.31,-0.16,-0.09,0.36
0.628,-0.21,-0.19,0.03,0.29
0.638,-0.09,-0.16,0.14,0.23
0.648,0.11,-0.11,0.21,0.26
