time,ax,ay,az,atotal
0.678,-0.93,-0.28,0.06,0.97
0.688,-0.67,-0.14,0.38,0.78
0.698,-0.39,0.05,0.64,0.75
0.708,-0.11,0.18,0.88,0.91
0.718,-0.01,0.17,1.02,1.03
0.728,0.03,0.07,1.01,1.01
0.738,0.10,0.05,0.68,0.69
0.748,0.19,0.21,0.16,0.32
0.758,0.20,0.34,-0.17,0.43
0.768,0.05,0.37,-0.49,0.62
0.777,0.02,0.52,-0.60,0.79
0.787,0.07,0.66,-0.60,0.89
0.797,0.13,0.60,-0.44,0.76
0.807,0.34,0.51,-0.09,0.62
0.817,0.43,0.53,0.42,0.80
0.827,0.44,0.41,0.76,0.97
0.837,0.40,0.28,0.63,0.80
0.847,0.32,0.21,0.10,0.39
0.857,0.40,0.32,-0.46,0.69
0.867,0.37,0.30,-1.00,1.10
0.877,0.30,0.24,-1.23,1.29
0.887,0.15,0.26,-1.15,1.19
0.897,-0.07,0.25,-0.83,0.87
0.907,-0.21,0.26,-0.31,0.45
0.917,-0.34,0.29,0.18,0.48
0.927,-0.31,0.27,0.35,0.54
0.937,-0.21,0.15,0.22,0.34
0.947,-0.01,-0.01,0.02,0.02
0.957,0.07,-0.09,-0.35,0.37
0.967,0.04,-0.04,-0.57,0.57
0.977,0.08,0.02,-0.55,0.56
0.987,-0.03,0.03,-0.46,0.46
0.997,-0.02,0.21,-0.21,0.30
1.007,0.04,0.22,0.11,0.25
1.017,0.09,0.08,0.34,0.36
1.027,0.29,-0.04,0.40,0.49
1.037,0.43,-0.18,0.31,0.56
1.047,0.38,-0.18,-0.02,0.42
1.057,0.32,0.03,-0.29,0.43
1.067,0.21,0.14,-0.26,0.36
1.076,0.22,0.18,-0.07,0.30
1.086,0.28,0.32,0.03,0.43
1.096,0.38,0.30,0.04,0.49
1.106,0.49,0.19,-0.11,0.54
1.116,0.56,-0.00,-0.22,0.60
1.126,0.45,-0.13,-0.24,0.52
1.136,0.06,-0.02,-0.30,0.30
1.146,-0.18,0.26,-0.20,0.37
1.156,-0.21,0.37,0.14,0.45
1.166,-0.25,0.26,0.32,0.48
1.176,-0.28,0.10,0.18,0.34
1.186,-0.17,0.04,-0.20,0.27
1.196,-0.23,-0.15,-0.62,0.68
1.206,-0.06,-0.14,-0.68,0.70
1.216,0.10,0.03,-0.36,0.37
1.226,0.09,0.05,0.07,0.12
1.236,0.08,-0.06,0.25,0.27
1.246,0.16,-0.13,0.31,0.37
1.256,0.29,-0.12,0.33,0.46
1.266,0.20,-0.10,0.28,0.36
1.276,-0.07,-0.25,0.07,0.27
1.286,-0.26,-0.30,0.01,0.40
1.296,-0.43,-0.14,0.00,0.45
1.306,-0.56,0.02,0.02,0.56
1.316,-0.47,0.05,-0.04,0.47
1.326,-0.24,0.14,-0.19,0.34
1.336,-0.10,0.50,-0.28,0.58
1.346,0.03,0.66,-0.18,0.68
1.356,0.34,0.42,-0.24,0.59
1.366,0.41,0.28,-0.44,0.66
1.376,0.13,0.39,-0.40,0.57
1.386,0.07,0.45,-0.33,0.57
1.395,0.10,0.61,-0.68,0.92
1.405,0.01,1.04,-1.15,1.55
1.415,-0.06,1.04,-1.76,2.04
1.426,0.29,0.94,-2.03,2.26
1.435,0.57,0.82,-1.90,2.15
1.445,1.53,0.94,-1.06,2.08
1.455,1.64,1.45,-1.07,2.43
1.465,1.04,1.89,-3.43,4.06
1.475,0.68,0.82,-7.07,7.15
1.485,0.90,0.10,-8.85,8.90
1.495,1.47,0.09,-7.85,7.99
1.505,1.44,-0.40,-9.33,9.45
1.515,1.55,-0.59,-9.83,9.96
1.525,1.47,-0.64,-9.68,9.82
1.535,1.41,-0.83,-9.72,9.86
1.545,1.38,-0.71,-9.66,9.78
1.555,1.33,-0.85,-9.65,9.77
1.565,1.27,-0.95,-9.61,9.74
1.575,1.22,-1.09,-9.58,9.72
1.585,1.15,-1.20,-9.55,9.70
1.595,1.10,-1.29,-9.52,9.67
1.605,1.03,-1.40,-9.48,9.64
1.615,0.98,-1.50,-9.46,9.63
1.625,0.93,-1.59,-9.43,9.61
1.635,0.85,-1.67,-9.40,9.58
1.644,0.80,-1.78,-9.38,9.58
1.655,0.73,-1.89,-9.34,9.56
1.665,0.67,-2.00,-9.30,9.54
1.674,0.63,-2.10,-9.29,9.55
1.684,0.56,-2.22,-9.25,9.53
1.694,0.50,-2.32,-9.24,9.54
1.704,0.45,-2.43,-9.19,9.52
1.714,0.38,-2.51,-9.14,9.49
1.724,0.33,-2.60,-9.11,9.48
1.734,0.28,-2.71,-9.08,9.48
1.744,0.22,-2.81,-9.03,9.46
1.754,0.16,-2.90,-8.99,9.45
1.764,0.13,-2.98,-8.97,9.46
1.774,0.08,-3.07,-8.91,9.42
1.784,0.03,-3.15,-8.87,9.42
1.794,-0.03,-3.23,-8.84,9.42
1.804,-0.08,-3.31,-8.81,9.41
1.814,-0.11,-3.40,-8.76,9.39
1.824,-0.17,-3.47,-8.70,9.37
1.834,-0.22,-3.54,-8.66,9.36
1.844,-0.26,-3.61,-8.63,9.35
1.854,-0.30,-3.67,-8.57,9.32
1.864,-0.33,-3.74,-8.52,9.31
1.874,-0.36,-3.78,-8.46,9.27
1.884,-0.39,-3.84,-8.41,9.25
1.894,-0.43,-3.89,-8.35,9.22
1.904,-0.45,-3.94,-8.29,9.19
1.914,-0.49,-3.99,-8.23,9.16
1.924,-0.52,-4.03,-8.23,9.17
1.934,-0.55,-4.07,-8.19,9.16
1.943,-0.56,-4.10,-8.15,9.14
1.954,-0.57,-4.13,-8.11,9.12
1.963,-0.59,-4.16,-8.07,9.10
1.973,-0.61,-4.18,-8.04,9.09
1.984,-0.63,-4.21,-8.02,9.08
1.993,-0.63,-4.22,-7.97,9.04
2.003,-0.63,-4.24,-7.93,9.01
2.013,-0.62,-4.24,-7.90,8.98
2.023,-0.62,-4.24,-7.85,8.95
2.033,-0.62,-4.24,-7.81,8.91
2.043,-0.61,-4.22,-7.79,8.88
2.053,-0.61,-4.21,-7.76,8.85
2.063,-0.59,-4.20,-7.71,8.80
2.073,-0.57,-4.17,-7.66,8.74
2.083,-0.51,-4.12,-7.55,8.61
2.093,5.29,4.10,-2.82,7.26
2.105,20.98,68.62,104.61,126.85
2.113,-131.32,75.19,293.10,329.86
2.123,-159.47,5.97,212.18,265.49
2.133,-6.32,1.11,-3.02,7.09
2.143,6.95,-0.87,-13.11,14.86
2.153,4.14,-4.44,-7.03,9.28
2.163,4.88,-4.22,-8.48,10.65
2.173,4.64,-4.57,-8.02,10.34
2.183,4.62,-4.93,-7.91,10.40
2.193,4.58,-5.27,-7.73,10.42
2.203,4.54,-5.60,-7.56,10.44
2.213,4.49,-5.90,-7.35,10.43
2.223,4.42,-6.17,-7.15,10.43
2.233,4.39,-6.45,-6.93,10.43
2.243,4.34,-6.72,-6.68,10.42
2.253,4.30,-6.99,-6.40,10.41
2.262,4.28,-7.22,-6.12,10.39
2.272,4.26,-7.45,-5.93,10.43
2.282,4.32,-7.58,-5.76,10.46
2.292,4.49,-7.49,-5.59,10.37
2.302,4.78,-7.26,-5.49,10.28
2.312,5.19,-6.66,-5.67,10.17
2.322,5.47,-5.33,-6.27,9.89
2.332,5.88,-4.03,-6.43,9.60
2.342,5.96,-2.32,-6.87,9.38
2.352,5.34,-0.22,-7.61,9.30
2.362,3.37,2.25,-7.84,8.83
2.372,1.12,4.14,-6.94,8.16
2.382,-1.59,3.27,-6.13,7.13
2.392,-4.83,-0.21,-2.17,5.30
2.402,-7.25,-2.82,-0.23,7.78
2.412,-8.69,-3.85,2.36,9.79
2.422,-12.65,-5.83,12.45,18.69
2.432,-14.43,-7.78,27.53,32.04
2.442,-3.99,-6.31,25.84,26.89
2.452,3.63,-4.09,14.33,15.33
2.462,5.02,-3.06,2.58,6.42
2.472,4.46,-2.25,-2.04,5.40
2.482,2.42,-1.01,-4.03,4.81
2.492,-0.48,0.16,-4.46,4.49
2.502,-1.68,1.01,-2.54,3.21
2.512,-1.52,1.44,0.01,2.09
2.522,-0.64,1.45,1.47,2.16
2.532,-0.03,0.57,1.49,1.59
2.542,0.31,-0.34,0.99,1.10
2.552,0.59,-0.54,0.26,0.84
2.561,0.29,-0.23,-0.61,0.72
2.572,-0.06,0.08,-0.70,0.71
2.581,0.10,-0.06,0.04,0.12
2.591,0.02,-0.06,0.54,0.54
2.601,0.12,0.28,0.22,0.37
2.611,0.13,0.13,-0.22,0.29
2.621,-0.07,-0.21,-0.21,0.31
2.631,0.07,-0.21,-0.03,0.23
2.641,0.19,0.07,0.06,0.21
2.651,0.24,0.05,0.07,0.25
2.661,0.12,0.03,0.05,0.13
2.671,0.02,0.02,-0.09,0.10
2.681,0.03,-0.01,-0.07,0.08
2.691,0.12,-0.07,0.01,0.14
2.701,0.11,-0.08,0.02,0.14
2.711,0.17,0.03,0.01,0.17
2.721,0.15,0.05,-0.06,0.17
2.731,0.10,0.02,0.04,0.11
2.741,0.06,-0.03,0.00,0.07
2.751,0.05,-0.08,-0.02,0.10
2.761,0.08,-0.08,-0.00,0.11
2.771,0.10,-0.05,-0.00,0.11
2.781,0.17,0.02,0.02,0.17
2.791,0.11,0.05,0.01,0.12
2.801,0.06,0.02,-0.05,0.08
2.811,0.11,0.00,-0.03,0.12
2.821,0.13,-0.00,0.00,0.13
2.830,0.07,-0.05,0.02,0.09
2.841,0.03,-0.02,-0.01,0.04
2.851,0.12,-0.03,-0.04,0.13
2.860,0.14,-0.05,-0.01,0.15
2.870,0.09,-0.03,-0.04,0.10
2.880,0.09,0.00,0.04,0.10
2.890,0.01,0.00,0.01,0.02
2.900,0.12,0.01,-0.04,0.13
2.910,0.12,0.01,-0.05,0.13
2.920,0.12,0.00,-0.00,0.12
2.930,0.07,-0.03,0.01,0.08
2.940,0.04,-0.03,0.01,0.05
2.950,0.09,-0.01,-0.01,0.09
2.960,0.13,-0.04,-0.03,0.14
2.970,0.06,-0.01,0.03,0.06
2.980,0.05,-0.01,-0.04,0.07
2.990,0.11,-0.01,-0.09,0.14
3.000,0.07,-0.01,0.01,0.07
3.010,0.07,-0.02,0.03,0.08
3.020,0.06,0.03,0.03,0.07
3.030,0.11,-0.00,-0.02,0.11
3.040,0.13,-0.03,-0.08,0.15
3.050,0.06,-0.04,-0.03,0.08
3.060,0.07,-0.00,-0.02,0.07
3.070,0.09,0.01,-0.02,0.09
3.080,0.09,-0.01,-0.00,0.09
3.090,0.06,-0.02,0.01,0.07
3.100,0.09,0.00,-0.03,0.09
3.109,0.12,-0.01,-0.01,0.12
3.120,0.11,-0.01,0.01,0.11
3.130,0.07,-0.03,0.00,0.07
3.140,0.02,-0.02,-0.04,0.05
3.150,0.07,0.00,-0.03,0.08
3.159,0.08,-0.00,0.02,0.08
3.169,0.07,-0.04,0.06,0.10
3.179,0.07,-0.03,0.03,0.09
3.189,0.08,-0.00,-0.03,0.08
3.199,0.04,0.02,-0.05,0.07
3.209,0.08,-0.03,-0.06,0.10
3.219,0.11,-0.04,-0.05,0.13
3.229,0.12,-0.01,-0.01,0.12
3.239,0.08,0.01,-0.02,0.08
3.249,0.09,-0.02,-0.03,0.09
3.259,0.07,-0.04,-0.05,0.10
3.269,0.11,-0.01,-0.07,0.13
3.279,0.09,0.01,-0.05,0.11
3.289,0.07,-0.00,-0.04,0.08
3.299,0.09,-0.01,-0.01,0.09
3.309,0.05,-0.04,0.01,0.07
3.319,0.03,-0.00,0.02,0.04
3.329,0.07,0.01,-0.03,0.07
3.339,0.11,0.01,-0.04,0.12
3.349,0.11,0.00,-0.05,0.12
3.359,0.07,-0.03,-0.05,0.09
3.369,0.01,-0.05,-0.00,0.05
3.379,0.04,-0.04,0.05,0.07
3.389,0.11,-0.02,-0.05,0.13
3.399,0.12,0.00,-0.03,0.13
3.409,0.06,0.01,-0.05,0.08
3.419,0.04,-0.02,-0.02,0.05
3.429,0.04,-0.07,0.02,0.08
3.439,0.06,-0.05,-0.05,0.09
3.449,0.08,0.03,-0.06,0.10
3.459,0.14,0.09,-0.00,0.17
3.469,0.15,0.01,0.04,0.15
3.478,0.07,-0.11,0.02,0.13
3.488,-0.03,-0.09,-0.05,0.11
3.498,-0.01,0.00,-0.10,0.10
3.509,0.08,0.06,-0.05,0.11
3.518,0.13,0.05,0.03,0.14
3.528,0.12,-0.00,0.07,0.14
3.538,0.05,-0.07,0.02,0.09
3.548,0.00,-0.05,-0.04,0.06
3.558,-0.01,-0.03,-0.01,0.03
3.569,0.03,0.01,0.02,0.04
3.578,0.08,0.01,-0.00,0.08
3.588,0.07,-0.01,-0.04,0.08
3.598,0.10,-0.01,-0.08,0.13
3.608,0.09,-0.01,-0.04,0.10
3.618,0.09,-0.02,0.00,0.09
3.628,0.05,-0.00,-0.03,0.06
3.638,0.01,-0.01,-0.06,0.07
3.648,0.05,-0.03,-0.06,0.09
3.658,0.09,-0.04,0.00,0.10
3.668,0.10,-0.01,0.01,0.10
3.678,0.09,0.01,-0.02,0.10
3.688,0.10,0.00,-0.03,0.11
3.697,0.09,-0.01,-0.05,0.10
3.708,0.00,-0.01,-0.01,0.01
3.718,0.01,-0.06,-0.03,0.07
3.728,0.09,-0.06,-0.07,0.13
3.737,0.06,0.01,-0.07,0.10
3.747,0.06,0.04,-0.05,0.09
3.757,0.07,0.02,-0.01,0.07
3.767,0.11,0.02,-0.00,0.11
3.777,0.12,-0.03,-0.01,0.13
3.787,0.02,-0.09,-0.00,0.10
3.797,-0.04,-0.08,-0.06,0.11
3.807,0.04,-0.01,-0.05,0.07
3.817,0.13,0.08,-0.05,0.16
3.827,0.12,0.10,-0.01,0.16
3.837,0.07,0.02,0.01,0.07
3.847,0.02,-0.11,-0.04,0.12
3.857,0.01,-0.14,-0.02,0.14
3.867,0.03,-0.01,-0.03,0.04
3.877,0.07,0.11,-0.05,0.14
3.887,0.10,0.06,-0.03,0.12
3.897,0.06,-0.05,-0.04,0.09
3.907,0.07,-0.08,0.01,0.10
3.917,0.09,-0.01,0.02,0.09
3.927,0.11,0.06,0.01,0.13
3.937,0.10,0.03,-0.01,0.11
3.947,-0.03,-0.05,-0.10,0.11
3.957,-0.11,-0.09,-0.11,0.18
3.967,0.04,-0.05,-0.05,0.08
3.977,0.18,0.00,0.04,0.18
3.987,0.17,0.04,0.04,0.18
3.997,0.07,0.05,0.00,0.08
4.007,0.02,-0.01,-0.07,0.07
4.016,0.02,-0.04,-0.09,0.10
4.026,0.00,-0.04,0.02,0.04
4.036,0.03,-0.03,0.00,0.04
4.046,0.06,-0.02,-0.04,0.08
4.056,0.09,0.01,-0.05,0.11
4.066,0.08,0.03,-0.03,0.08
4.076,0.05,-0.00,0.01,0.05
4.086,0.02,-0.04,-0.04,0.06
4.096,-0.00,-0.05,-0.07,0.08
4.106,0.06,-0.01,-0.02,0.07
4.116,0.09,-0.01,0.03,0.09
4.126,0.11,0.02,0.02,0.11
4.136,0.12,0.00,0.00,0.12
4.146,0.05,-0.03,-0.04,0.07
4.156,0.02,-0.04,-0.05,0.07
4.166,0.01,-0.02,-0.05,0.05
4.176,0.06,0.03,-0.05,0.09
4.186,0.09,0.02,-0.04,0.10
4.196,0.07,-0.00,-0.05,0.08
4.206,0.08,-0.02,-0.05,0.09
4.216,0.08,-0.05,-0.06,0.10
4.226,0.10,-0.03,-0.07,0.12
4.236,0.08,0.01,-0.09,0.12
4.246,0.06,0.03,-0.07,0.09
4.256,0.05,0.02,-0.02,0.06
4.266,0.06,-0.00,-0.00,0.06
4.276,0.05,-0.01,-0.00,0.05
4.286,0.06,-0.04,-0.02,0.08
4.296,0.16,-0.01,-0.03,0.16
4.306,-0.05,-0.04,0.07,0.10
4.316,-0.04,-0.04,0.11,0.12
4.326,0.07,0.04,0.01,0.08
4.336,0.05,0.04,0.01,0.07
4.345,0.04,0.01,-0.04,0.06
4.355,0.03,-0.03,-0.07,0.08
4.366,0.01,-0.07,-0.05,0.09
4.375,-0.04,-0.17,-0.04,0.18
4.385,0.06,-0.09,-0.03,0.11
4.395,0.14,0.08,-0.03,0.16
4.405,0.15,0.12,-0.04,0.19
4.415,0.10,0.03,-0.09,0.14
4.425,0.06,0.03,-0.09,0.11
4.435,0.05,0.05,-0.08,0.11
4.445,0.04,0.00,-0.04,0.06
4.455,0.03,-0.06,0.01,0.07
4.465,0.01,-0.05,-0.00,0.05
4.475,0.04,-0.03,-0.03,0.05
4.485,0.03,-0.11,-0.05,0.13
4.495,0.05,-0.14,-0.07,0.17
4.505,0.08,-0.06,0.03,0.10
4.515,0.11,0.04,-0.00,0.12
4.525,0.10,0.05,-0.05,0.13
4.535,0.03,0.05,-0.04,0.07
4.545,0.01,0.06,-0.06,0.08
4.555,0.07,0.06,-0.08,0.12
4.565,0.08,-0.00,-0.05,0.09
4.575,0.07,-0.07,0.00,0.10
4.585,0.07,-0.13,0.00,0.15
4.594,0.02,-0.08,-0.08,0.12
4.605,0.02,0.03,-0.07,0.08
4.615,0.11,0.04,-0.03,0.12
4.625,0.10,-0.04,-0.06,0.13
4.635,0.01,0.01,-0.00,0.02
4.644,-0.20,0.00,0.03,0.20
4.654,-0.09,-0.02,0.03,0.10
4.664,0.05,-0.01,-0.15,0.16
4.674,0.27,0.05,0.15,0.32
4.685,0.32,0.05,0.51,0.60
4.694,0.19,-0.06,0.06,0.21
4.704,0.04,-0.11,-0.35,0.37
4.714,-0.09,0.00,-0.28,0.29
4.724,-0.16,0.09,-0.14,0.23
