time,ax,ay,az,atotal
0.000,-0.24,-0.18,0.25,0.39
0.010,-0.02,-0.14,0.10,0.17
0.020,0.09,-0.02,0.16,0.18
0.030,0.06,0.02,0.19,0.19
0.040,0.13,0.10,0.35,0.39
0.050,0.03,0.20,0.50,0.54
0.060,-0.03,0.21,0.54,0.59
0.070,-0.03,0.19,0.40,0.45
0.080,-0.01,0.18,0.15,0.24
0.090,-0.12,0.22,-0.27,0.37
0.100,0.13,0.51,-0.61,0.80
0.110,0.59,0.74,-0.68,1.16
0.120,0.81,0.74,-0.57,1.24
0.130,0.94,0.68,-0.48,1.26
0.140,0.79,0.73,-0.37,1.14
0.150,0.30,0.71,-0.23,0.80
0.160,0.08,0.57,-0.05,0.58
0.170,-0.00,0.46,0.16,0.49
0.179,-0.02,0.29,-0.04,0.29
0.189,0.01,0.10,-0.31,0.32
0.199,0.10,0.06,-0.41,0.43
0.209,0.18,0.22,-0.28,0.40
0.219,0.17,0.34,0.05,0.38
0.229,0.14,0.17,0.27,0.35
0.239,0.27,-0.17,0.31,0.45
0.249,0.43,-0.38,0.47,0.75
0.259,0.52,-0.40,0.87,1.09
0.269,0.51,-0.17,1.26,1.37
0.279,0.31,-0.08,1.46,1.49
0.289,0.17,-0.23,0.95,0.99
0.299,0.01,-0.34,0.11,0.36
0.309,-0.28,-0.16,-0.60,0.68
0.319,-0.04,-0.03,-0.83,0.83
0.329,-0.32,0.07,-0.30,0.44
0.339,0.01,0.12,0.49,0.51
0.349,0.36,-0.09,1.08,1.14
0.359,0.45,-0.41,1.01,1.18
0.369,0.40,-0.63,0.31,0.81
0.379,0.36,-0.37,-0.26,0.58
0.389,0.22,-0.18,-0.53,0.60
0.399,0.22,-0.03,-0.65,0.69
0.409,0.47,0.12,-0.86,0.99
0.419,0.51,0.20,-1.00,1.14
0.429,0.51,0.15,-1.01,1.14
0.439,0.72,0.22,-0.99,1.24
0.449,0.85,0.25,-0.94,1.29
0.459,0.75,0.11,-0.72,1.04
0.469,0.59,-0.34,-0.41,0.80
0.478,0.32,-0.64,-0.21,0.74
0.488,0.03,-0.65,-0.24,0.70
0.498,-0.18,-0.58,-0.49,0.78
0.508,-0.16,-0.42,-0.75,0.88
0.518,-0.56,-0.14,-0.58,0.82
0.528,-0.38,-0.14,-0.13,0.43
0.538,-0.32,-0.63,-0.40,0.81
0.549,-0.22,-0.95,-0.42,1.07
0.558,0.01,-1.01,-0.28,1.05
0.568,-0.25,-0.69,-0.14,0.75
0.578,-0.60,-0.35,0.24,0.73
0.588,-0.59,-0.43,0.61,0.95
0.598,-0.73,-0.70,0.81,1.29
0.608,-0.84,-0.84,0.50,1.29
0.618,-0.76,-0.81,-0.08,1.12
0.628,-0.59,-0.66,-0.41,0.97
0.638,-0.40,-0.56,-0.54,0.88
0.648,-0.50,-0.39,-0.62,0.89
0.658,-0.83,-0.24,-0.43,0.97
0.668,-1.00,-0.26,-0.16,1.04
